ID,estado,period,CV
5,8C,First_30s,9.808550396012649
5,8C,Last_30s,10.143411701678207
5,ENVCOLD,First_30s,10.20972650650373
5,ENVCOLD,Last_30s,12.476237656100006
5,ENVHEAT,First_30s,2.689444509016609
5,ENVHEAT,Last_30s,5.00894158403295
5,WATCOLD,First_30s,5.187398950506959
5,WATCOLD,Last_30s,7.977663170736362
5,WATHEAT,First_30s,5.080399921430145
5,WATHEAT,Last_30s,4.032198367481772
6,15C,First_30s,5.18750374531674
6,15C,Last_30s,5.727876666018275
6,1C,First_30s,9.980016631251774
6,1C,Last_30s,3.539959283177528
6,36C,First_30s,39.43605285602455
6,36C,Last_30s,10.699051173587245
6,8C,First_30s,15.672222631619107
6,8C,Last_30s,4.117048887284034
6,ENVCOLD,First_30s,8.465517863391344
6,ENVCOLD,Last_30s,6.831232540313495
6,WATCOLD,First_30s,5.809359328422098
6,WATCOLD,Last_30s,3.272345504205338
7,1C,First_30s,3.379785749613547
7,1C,Last_30s,6.155046369957968
7,29C,First_30s,5.161155370577184
7,29C,Last_30s,6.373702809926539
7,36C,First_30s,6.473851934014253
7,36C,Last_30s,18.65840236988076
7,8C,First_30s,4.040067194912965
7,8C,Last_30s,4.770777599138452
7,WATCOLD,First_30s,10.842630758686003
7,WATCOLD,Last_30s,7.4148841371676975
7,WATHEAT,First_30s,6.727218050068565
7,WATHEAT,Last_30s,5.555082439928537
8,1C,First_30s,6.5348874099892456
8,1C,Last_30s,5.92892865796871
8,36C,First_30s,3.728789538208931
8,36C,Last_30s,5.58726931170127
8,8C,First_30s,9.90145213215009
8,8C,Last_30s,8.40214982294248
8,ENVCOLD,First_30s,3.788475918093906
8,ENVCOLD,Last_30s,3.1320908353115113
8,ENVHEAT,First_30s,11.292579640655571
8,ENVHEAT,Last_30s,5.988982608262016
8,WATCOLD,First_30s,3.084286831119394
8,WATCOLD,Last_30s,3.32507707254295
8,WATHEAT,First_30s,6.8476006736830755
8,WATHEAT,Last_30s,6.388765649999309
9,15C,First_30s,9.826658062689562
9,15C,Last_30s,10.910731607921262
9,1C,First_30s,5.744390041257437
9,1C,Last_30s,4.897954930283889
9,29C,First_30s,14.797990763388269
9,29C,Last_30s,19.869301883331556
9,36C,First_30s,8.02162210764154
9,36C,Last_30s,9.261889894145963
9,8C,First_30s,7.697679619597418
9,8C,Last_30s,11.416332217127005
9,ENVCOLD,First_30s,6.026109966661527
9,ENVCOLD,Last_30s,9.001974172764218
9,ENVHEAT,First_30s,15.140690900817544
9,ENVHEAT,Last_30s,8.56638941226137
9,WATCOLD,First_30s,7.1598212763181
9,WATCOLD,Last_30s,6.83058829113678
9,WATHEAT,First_30s,5.823579435711045
9,WATHEAT,Last_30s,2.639208033263904
10,15C,First_30s,6.415793055896176
10,15C,Last_30s,5.168236546069263
10,1C,First_30s,14.281083015323029
10,1C,Last_30s,7.810407123732395
10,29C,First_30s,5.8508636655885
10,29C,Last_30s,12.367146832850274
