Block,Temperature,Treatment,Snail,MeanHR_mov,SDNN_mov,RMSSD_mov,pNN50_mov,NNi_mov,Normalized_RMSSD,CV
Heat,29,29C,30,60.56121236,91.24462067,58.56394526,23.33333333,990.1675794,0.059145489,9.215068496
Heat,36,36C,1,54.92480041,168.9681396,178.8582326,74.07407407,1100.611451,0.162508061,15.35220622
Heat,36,36C,2,47.87841525,458.6671229,468.5029598,91.30434783,1274.466902,0.367607004,35.98893955
Heat,36,36C,3,62.62322644,100.5269466,100.1452018,45.16129032,957.1455041,0.104629026,10.50278627
Heat,36,36C,5,41.06319073,749.4360488,961.3426727,89.18918919,1560.516076,0.616041505,48.02488487
Heat,36,36C,6,54.66852857,341.6422831,290.0320609,66.03773585,1104.317213,0.262634737,30.93696984
Heat,36,36C,7,40.49395035,225.6841987,192.3347563,76.92307692,1486.659255,0.129373799,15.18062716
Heat,36,36C,8,62.1765859,46.37430523,56.81222557,32.78688525,966.1281357,0.058804028,4.800016014
Heat,36,36C,9,74.00500824,81.43557891,76.51973262,41.66666667,813.2371866,0.094092761,10.01375494
Heat,36,36C,11,57.79325637,447.2034318,477.1234746,63.63636364,1064.281744,0.448305608,42.01927115
Heat,36,36C,12,56.78266359,58.54609131,71.86422518,41.07142857,1059.067903,0.067856107,5.528077203
Heat,36,36C,13,47.8090528,285.9245575,326.2617718,60.86956522,1265.241919,0.25786513,22.59841009
Heat,36,36C,14,64.13666975,217.5841846,241.5658533,50.79365079,943.7534742,0.255962876,23.05519297
Heat,36,36C,15,76.50407603,83.0266657,83.13471527,21.33333333,785.5241216,0.105833434,10.56958831
Heat,36,36C,16,55.35369253,570.370639,583.3093049,46.15384615,1112.567779,0.524291028,51.26614753
Heat,36,36C,17,27.51461638,609.4601366,828.7115649,80,2314.106127,0.358113033,26.33674098
Heat,36,36C,18,71.81154701,94.77400822,109.6911331,39.43661972,838.891977,0.130757161,11.29752231
Heat,36,36C,20,62.50370875,173.0258082,206.3148097,40,965.5637467,0.213672904,17.91966701
Heat,36,36C,21,68.31747436,116.3208513,79.53259878,44.7761194,883.3338783,0.090036849,13.16839014
Heat,36,36C,22,34.87680168,762.698335,526.3795711,78.78787879,1760.782134,0.298946452,43.31588334
